,epsilons,values,IDs,srcNode,dstNode,reqDR,provDR,linSNR,toa,tod,block,Action ID,Path ID,FS ID,Slots,Path length,configID,carry,rset lengths
0,,,,10.0,1.0,289.0,,,0.0,11.752852951151056,1.0,1.0,0.0,1.0,,,,,0.0
1,,,,12.0,3.0,478.0,,,0.0,3.1421015055609045,1.0,5.0,1.0,2.0,,,,,0.0
2,,,,1.0,10.0,485.0,,,0.0,2.8813005887629966,0.0,6.0,2.0,0.0,,,,,1.0
3,,,,1.0,10.0,308.0,,,0.0,6.453252416467043,1.0,7.0,2.0,1.0,,,,,1.0
4,,,,3.0,12.0,992.0,,,0.0,6.229508264005161,1.0,1.0,0.0,1.0,,,,,1.0
5,,,,3.0,12.0,167.0,,,0.0,1.8892473087016661,1.0,4.0,1.0,1.0,,,,,1.0
6,,,,1.0,10.0,681.0,,,0.0,7.672271649982739,1.0,5.0,1.0,2.0,,,,,1.0
7,,,,3.0,12.0,1022.0,,,0.0,3.3623054337214806,1.0,4.0,1.0,1.0,,,,,1.0
8,,,,12.0,3.0,342.0,,,0.0,11.848980714887178,1.0,8.0,2.0,2.0,,,,,1.0
9,,,,1.0,10.0,64.0,,,0.0,6.296300576957659,1.0,4.0,1.0,1.0,,,,,1.0
10,,,,10.0,1.0,336.0,,,0.0,4.9721792091461845,0.0,3.0,1.0,0.0,,,,,2.0
11,,,,10.0,1.0,1039.0,,,0.0,12.978230926129365,1.0,7.0,2.0,1.0,,,,,2.0
12,,,,12.0,3.0,317.0,,,0.0,2.201182632347132,1.0,4.0,1.0,1.0,,,,,2.0
13,,,,10.0,1.0,634.0,,,0.0,10.863612260844727,1.0,8.0,2.0,2.0,,,,,2.0
14,,,,1.0,10.0,246.0,,,0.0,6.78547726323331,1.0,1.0,0.0,1.0,,,,,2.0
15,,,,12.0,3.0,688.0,,,0.0,20.371532670399063,1.0,4.0,1.0,1.0,,,,,2.0
16,,,,12.0,3.0,112.0,,,0.0,2.0729243673356117,1.0,4.0,1.0,1.0,,,,,2.0
17,,,,3.0,12.0,132.0,,,0.0,9.100168039444242,1.0,4.0,1.0,1.0,,,,,2.0
18,,,,3.0,12.0,1109.0,,,0.0,13.194680122740342,1.0,5.0,1.0,2.0,,,,,2.0
19,,,,10.0,1.0,702.0,,,0.0,15.83034109554685,1.0,4.0,1.0,1.0,,,,,2.0
20,,,,1.0,10.0,942.0,,,0.0,23.14613921966077,0.0,0.0,0.0,0.0,,,,,3.0
21,,,,1.0,10.0,142.0,,,0.0,23.14613921966077,1.0,1.0,0.0,1.0,,,,,3.0
22,,,,12.0,3.0,120.0,,,0.0,8.152933839756885,1.0,4.0,1.0,1.0,,,,,3.0
23,,,,10.0,1.0,820.0,,,0.0,3.794550002358295,0.0,0.0,0.0,0.0,,,,,4.0
24,,,,10.0,1.0,20.0,,,0.0,3.794550002358295,1.0,4.0,1.0,1.0,,,,,4.0
25,,,,3.0,12.0,715.0,,,0.0,5.262421233820133,1.0,4.0,1.0,1.0,,,,,4.0
26,,,,1.0,10.0,230.0,,,0.0,9.239559679348552,1.0,5.0,1.0,2.0,,,,,4.0
27,,,,12.0,3.0,551.0,,,0.0,3.772152670749085,1.0,4.0,1.0,1.0,,,,,4.0
28,,,,3.0,12.0,214.0,,,0.0,18.530966853546694,1.0,4.0,1.0,1.0,,,,,4.0
29,,,,3.0,12.0,307.0,,,0.0,25.258253536826352,0.0,3.0,1.0,0.0,,,,,5.0
30,,,,12.0,3.0,997.0,,,0.0,0.005503126134188391,1.0,4.0,1.0,1.0,,,,,5.0
31,,,,13.0,3.0,624.0,,,0.0,16.30412210563599,1.0,4.0,1.0,1.0,,,,,5.0
32,,,,3.0,13.0,475.0,,,0.0,3.8614615304378748,0.0,3.0,1.0,0.0,,,,,6.0
33,,,,13.0,3.0,501.0,,,0.0,22.77931155954465,0.0,6.0,2.0,0.0,,,,,7.0
34,,,,3.0,13.0,232.0,,,0.0,15.902054876165565,1.0,4.0,1.0,1.0,,,,,7.0
35,,,,3.0,13.0,536.0,,,0.0,13.745349292021146,1.0,2.0,0.0,2.0,,,,,7.0
36,,,,1.0,11.0,998.0,,,0.0,0.4113869949313028,1.0,4.0,1.0,1.0,,,,,7.0
37,,,,3.0,13.0,409.0,,,0.0,16.281770010536434,1.0,8.0,2.0,2.0,,,,,7.0
38,,,,3.0,13.0,1192.0,,,0.0,27.93461472888571,1.0,7.0,2.0,1.0,,,,,7.0
39,,,,1.0,11.0,1192.0,,,0.0,6.630321861815973,1.0,1.0,0.0,1.0,,,,,7.0
40,,,,11.0,1.0,1082.0,,,0.0,10.093222654874543,1.0,4.0,1.0,1.0,,,,,7.0
41,,,,3.0,13.0,810.0,,,0.0,11.825087965590521,1.0,4.0,1.0,1.0,,,,,7.0
42,,,,13.0,3.0,547.0,,,0.0,21.4364918561397,1.0,2.0,0.0,2.0,,,,,7.0
43,,,,1.0,11.0,655.0,,,0.0,2.1961906894675303,1.0,4.0,1.0,1.0,,,,,7.0
44,,,,1.0,11.0,292.0,,,0.0,20.75925772576583,1.0,4.0,1.0,1.0,,,,,7.0
