,values,IDs,srcNode,dstNode,reqDR,provDR,PSD,linSNR,toa,tod,block,Action ID,Path ID,FS ID,Slots,Path length,configID,carry,rset lengths,zero slots,rset slots
0,7.1978827,83353,3.0,12.0,690,700.0,2.7210884353741498e-05,15.073226580086816,0.4272590164026786,9.252110838589255,0,0,0,0.0,12,3900,34.0,False,105,1446,1446
1,5.482254,83354,3.0,12.0,771,800.0,2.7210884353741498e-05,15.073226580086816,0.02203766437289462,1.3372807147129848,1,0,0,0.0,12,3900,36.0,False,96,1344,1344
2,6.010122,83355,1.0,10.0,374,400.0,2.7210884353741498e-05,15.009189339742974,0.11894697805456159,1.1682448122182707,0,1,0,1.0,6,3900,10.0,False,96,1353,1353
3,7.215671,83356,10.0,1.0,728,750.0,2.7210884353741498e-05,15.009189339742974,0.08710059945433919,5.090785507434649,0,0,0,0.0,12,3900,35.0,False,95,1359,1359
4,4.837392,83357,12.0,3.0,840,800.0,2.7210884353741498e-05,15.056167835190472,0.02756083993524808,8.353723135740227,1,4,1,1.0,12,3900,36.0,True,90,1275,1275
5,5.761765,83357,12.0,3.0,40.0,100.0,2.7210884353741498e-05,15.056167835190472,0.02756083993524808,8.353723135740227,0,5,1,2.0,3,3900,1.0,False,91,1287,1287
6,5.4881105,83358,3.0,12.0,874,800.0,2.7210884353741498e-05,15.056167835190472,0.10282914546236413,5.118765875348433,1,5,1,2.0,12,3900,36.0,True,91,1287,1287
7,6.637351,83358,3.0,12.0,74.0,100.0,2.7210884353741498e-05,15.054033214922603,0.10282914546236413,5.118765875348433,0,6,2,0.0,3,3900,1.0,False,92,1296,1296
8,4.837392,83359,12.0,3.0,1105,800.0,2.7210884353741498e-05,15.073226580086816,0.15916766420800565,1.8716576930612931,0,6,2,0.0,12,3900,36.0,True,93,1344,1344
9,7.06795,83359,12.0,3.0,305.0,350.0,2.7210884353741498e-05,15.054033214922603,0.15916766420800565,1.8716576930612931,0,0,0,0.0,6,3900,9.0,False,94,1362,1362
10,6.2160373,83360,12.0,3.0,1166,800.0,2.7210884353741498e-05,15.056167835190472,0.11035512908642442,2.2909751058508268,1,4,1,1.0,12,3900,36.0,True,94,1362,1362
11,7.092463,83360,12.0,3.0,366.0,400.0,2.7210884353741498e-05,15.054033214922603,0.11035512908642442,2.2909751058508268,0,0,0,0.0,6,3900,10.0,False,95,1380,1380
12,7.504675,83361,10.0,1.0,1023,800.0,2.7210884353741498e-05,15.009189339742974,0.07025823152303651,2.444167042012576,0,0,0,0.0,12,3900,36.0,True,94,1380,1380
13,6.662627,83361,10.0,1.0,223.0,250.0,2.7210884353741498e-05,14.548456703409624,0.07025823152303651,2.444167042012576,0,3,1,0.0,6,4350,7.0,False,95,1398,1398
14,6.233276,83362,1.0,10.0,672,700.0,2.7210884353741498e-05,14.548456703409624,0.05449997963651258,13.707371837083588,0,7,2,1.0,12,4350,34.0,False,96,1434,1434
15,4.98449,83363,3.0,12.0,733,750.0,2.7210884353741498e-05,15.056167835190472,0.12923060288916055,4.938752037955783,0,3,1,0.0,12,3900,35.0,False,96,1470,1470
