,values,IDs,srcNode,dstNode,reqDR,provDR,PSD,linSNR,toa,tod,block,Action ID,Path ID,FS ID,Slots,Path length,configID,carry,rset lengths,zero slots,rset slots
0,,1,3.0,12.0,230,250.0,2.7210884353741498e-05,15.073226580086816,0.016914962113873843,0.6838712579825604,0,0,0,0.0,6,3900,7.0,False,1,24,24
1,,2,1.0,10.0,1074,800.0,2.7210884353741498e-05,14.591388933414063,0.05095862212655826,19.412032442983115,0,3,1,0.0,12,4350,36.0,True,2,84,84
2,,2,1.0,10.0,274.0,300.0,2.7210884353741498e-05,15.009189339742974,0.05095862212655826,19.412032442983115,1,1,0,1.0,6,3900,8.0,False,2,84,84
3,,3,3.0,12.0,149,150.0,2.7210884353741498e-05,15.073226580086816,0.07610988818093073,11.905667444459404,1,1,0,1.0,3,3900,2.0,False,2,84,84
4,,4,3.0,12.0,86,100.0,2.7210884353741498e-05,15.073226580086816,0.017166832381209536,0.9979407137255154,1,1,0,1.0,3,3900,1.0,False,2,84,84
5,,5,1.0,10.0,137,150.0,2.7210884353741498e-05,14.548456703409624,0.0052287030861480985,19.669342646161166,1,7,2,1.0,3,4350,2.0,False,2,84,84
6,,6,12.0,3.0,680,700.0,2.7210884353741498e-05,15.056167835190472,0.07206044245476448,10.924641725966243,1,4,1,1.0,12,3900,34.0,False,2,84,84
7,,7,3.0,12.0,674,700.0,2.7210884353741498e-05,15.056167835190472,0.2685257566793886,6.38947700690438,1,5,1,2.0,12,3900,34.0,False,2,84,84
8,,8,1.0,10.0,1196,800.0,2.7210884353741498e-05,14.548456703409624,0.059885841666003976,23.113796103007598,0,6,2,0.0,12,4350,36.0,True,3,120,120
9,,8,1.0,10.0,396.0,400.0,2.7210884353741498e-05,14.591388933414063,0.059885841666003976,23.113796103007598,1,5,1,2.0,6,4350,10.0,False,3,120,120
10,,9,12.0,3.0,974,800.0,2.7210884353741498e-05,15.056167835190472,0.19146625218082916,5.929032713709473,1,5,1,2.0,12,3900,36.0,True,3,120,120
11,,9,12.0,3.0,174.0,200.0,2.7210884353741498e-05,15.073226580086816,0.19146625218082916,5.929032713709473,1,8,2,2.0,3,3900,3.0,False,3,120,120
12,,10,1.0,10.0,933,800.0,2.7210884353741498e-05,15.009189339742974,0.328672434338341,3.160927926230176,1,2,0,2.0,12,3900,36.0,True,2,96,96
13,,10,1.0,10.0,133.0,150.0,2.7210884353741498e-05,14.548456703409624,0.328672434338341,3.160927926230176,1,7,2,1.0,3,4350,2.0,False,2,96,96
14,,11,10.0,1.0,770,800.0,2.7210884353741498e-05,15.009189339742974,0.1716910839757543,26.124963804484175,1,2,0,2.0,12,3900,36.0,False,2,96,96
15,,12,10.0,1.0,564,600.0,2.7210884353741498e-05,15.009189339742974,0.026869803236517366,1.188927906919082,1,1,0,1.0,9,3900,21.0,False,2,96,96
16,,13,3.0,12.0,782,800.0,2.7210884353741498e-05,15.054033214922603,0.0794209351217394,1.757012663134996,1,7,2,1.0,12,3900,36.0,False,2,96,96
17,,14,3.0,12.0,682,700.0,2.7210884353741498e-05,15.073226580086816,0.011424657771072039,8.423568635738299,1,2,0,2.0,12,3900,34.0,False,2,96,96
18,,15,12.0,3.0,477,500.0,2.7210884353741498e-05,15.073226580086816,0.034071999555202105,19.86991626230969,1,8,2,2.0,9,3900,19.0,False,2,96,96
19,,16,1.0,10.0,972,800.0,2.7210884353741498e-05,14.591388933414063,0.025489909369878244,6.686055075443841,0,3,1,0.0,12,4350,36.0,True,3,156,156
20,,16,1.0,10.0,172.0,200.0,2.7210884353741498e-05,14.591388933414063,0.025489909369878244,6.686055075443841,0,3,1,0.0,3,4350,3.0,False,4,171,171
21,,17,1.0,10.0,548,550.0,2.7210884353741498e-05,14.591388933414063,0.13805741654213843,1.4334693426653013,0,3,1,0.0,9,4350,20.0,False,5,216,216
22,,18,12.0,3.0,219,250.0,2.7210884353741498e-05,15.073226580086816,0.10574489381843133,13.802796693206174,1,8,2,2.0,6,3900,7.0,False,5,216,216
23,,19,1.0,10.0,684,700.0,2.7210884353741498e-05,15.009189339742974,0.06297920042715235,6.981779267710955,1,1,0,1.0,12,3900,34.0,False,5,216,216
24,,20,12.0,3.0,817,800.0,2.7210884353741498e-05,15.073226580086816,0.170812118958019,4.075190818538837,1,8,2,2.0,12,3900,36.0,True,5,216,216
25,,20,12.0,3.0,17.0,100.0,2.7210884353741498e-05,15.073226580086816,0.170812118958019,4.075190818538837,0,6,2,0.0,3,3900,1.0,False,6,228,228
26,,21,10.0,1.0,842,800.0,2.7210884353741498e-05,15.009189339742974,0.22685315751948548,14.259508156771354,1,1,0,1.0,12,3900,36.0,True,6,228,228
27,,21,10.0,1.0,42.0,100.0,2.7210884353741498e-05,14.591388933414063,0.22685315751948548,14.259508156771354,1,8,2,2.0,3,4350,1.0,False,6,228,228
28,,22,11.0,1.0,234,250.0,2.7210884353741498e-05,15.190080317635584,0.032622786769223935,11.52278284656531,1,1,0,1.0,6,3750,7.0,False,6,228,228
29,,23,13.0,3.0,542,550.0,2.7210884353741498e-05,14.89910059043676,0.000954754709176634,24.430837019285676,0,6,2,0.0,9,4050,20.0,False,7,264,264
30,,24,3.0,13.0,1174,800.0,2.7210884353741498e-05,14.89910059043676,0.08804532380920177,8.710777627455137,0,6,2,0.0,12,4050,36.0,True,8,312,312
31,,24,3.0,13.0,374.0,400.0,2.7210884353741498e-05,15.21772801100404,0.08804532380920177,8.710777627455137,1,2,0,2.0,6,3750,10.0,False,8,312,312
32,,25,11.0,1.0,428,450.0,2.7210884353741498e-05,14.713942972268722,0.10794126981479576,4.362939966189883,0,6,2,0.0,9,4200,18.0,False,9,348,348
33,,26,13.0,3.0,1046,800.0,2.7210884353741498e-05,15.056167835190472,0.012290737701271592,15.038915347645837,1,5,1,2.0,12,3900,36.0,True,9,348,348
