,values,IDs,srcNode,dstNode,reqDR,provDR,PSD,linSNR,toa,tod,block,Action ID,Path ID,FS ID,Slots,Path length,configID,carry,rset lengths,zero slots,rset slots
0,10.883493,169868,3.0,12.0,924,800.0,2.7210884353741498e-05,15.073226580086816,0.20672360890792965,4.654760941963385,0,0,0,0.0,12,3900,36.0,True,119,1245,1245
1,10.694737,169868,3.0,12.0,124.0,150.0,2.7210884353741498e-05,15.073226580086816,0.20672360890792965,4.654760941963385,0,0,0,0.0,3,3900,2.0,False,120,1257,1257
2,12.112579,169869,3.0,12.0,291,300.0,2.7210884353741498e-05,15.073226580086816,0.05733380666676928,3.960015887210102,0,0,0,0.0,6,3900,8.0,False,120,1278,1278
3,10.83321,169870,10.0,1.0,605,650.0,2.7210884353741498e-05,15.009189339742974,0.034107224512091035,11.582241971329921,0,0,0,0.0,9,3900,22.0,False,120,1302,1302
4,11.629181,169871,1.0,10.0,1197,800.0,2.7210884353741498e-05,15.009189339742974,0.1632036620917764,6.599988520577693,0,0,0,0.0,12,3900,36.0,True,121,1338,1338
5,9.066778,169871,1.0,10.0,397.0,400.0,2.7210884353741498e-05,15.009189339742974,0.1632036620917764,6.599988520577693,0,1,0,1.0,6,3900,10.0,False,122,1356,1356
6,7.745777,169872,12.0,3.0,910,800.0,2.7210884353741498e-05,15.054033214922603,0.030250353259799634,7.54623445931853,1,0,0,0.0,12,3900,36.0,True,121,1350,1350
7,10.063266,169872,12.0,3.0,110.0,150.0,2.7210884353741498e-05,15.073226580086816,0.030250353259799634,7.54623445931853,0,7,2,1.0,3,3900,2.0,False,122,1362,1362
8,7.82884,169873,12.0,3.0,1156,800.0,2.7210884353741498e-05,15.054033214922603,0.036619351049601886,20.833824920659644,1,0,0,0.0,12,3900,36.0,True,122,1362,1362
9,8.9329195,169873,12.0,3.0,356.0,400.0,2.7210884353741498e-05,15.073226580086816,0.036619351049601886,20.833824920659644,0,7,2,1.0,6,3900,10.0,False,123,1386,1386
10,9.142701,169874,1.0,10.0,362,400.0,2.7210884353741498e-05,14.548456703409624,0.12877622516723594,9.210797483597972,0,6,2,0.0,6,4350,10.0,False,123,1395,1395
11,11.079645,169875,10.0,1.0,890,800.0,2.7210884353741498e-05,15.009189339742974,0.11887074560909917,26.338900806955177,0,0,0,0.0,12,3900,36.0,True,124,1431,1431
12,9.544668,169875,10.0,1.0,90.0,100.0,2.7210884353741498e-05,15.009189339742974,0.11887074560909917,26.338900806955177,0,0,0,0.0,3,3900,1.0,False,125,1440,1440
13,10.57116,169876,3.0,13.0,1186,800.0,2.7210884353741498e-05,15.21772801100404,0.14246554979899093,22.736535839101595,0,0,0,0.0,12,3750,36.0,True,125,1464,1464
14,12.197125,169876,3.0,13.0,386.0,400.0,2.7210884353741498e-05,15.21772801100404,0.14246554979899093,22.736535839101595,0,0,0,0.0,6,3750,10.0,False,126,1482,1482
15,9.874139,169877,1.0,11.0,757,800.0,2.7210884353741498e-05,15.190080317635584,0.06351317184338148,1.7299095581141763,0,0,0,0.0,12,3750,36.0,False,126,1506,1506
16,10.444932,169878,1.0,11.0,333,350.0,2.7210884353741498e-05,15.190080317635584,0.0462146373084909,0.6398767841309035,0,0,0,0.0,6,3750,9.0,False,125,1512,1512
17,10.523556,169879,11.0,1.0,310,350.0,2.7210884353741498e-05,15.190080317635584,0.23519461891558793,16.849761664682372,0,0,0,0.0,6,3750,9.0,False,126,1530,1530
18,10.789768,169880,11.0,1.0,1042,800.0,2.7210884353741498e-05,15.190080317635584,0.16395899019671056,0.3148207486448599,0,0,0,0.0,12,3750,36.0,True,124,1545,1545
19,10.612845,169880,11.0,1.0,242.0,250.0,2.7210884353741498e-05,14.880659941921914,0.16395899019671056,0.3148207486448599,0,3,1,0.0,6,4050,7.0,False,125,1569,1569
20,7.006883,169881,3.0,13.0,868,800.0,2.7210884353741498e-05,15.21772801100404,0.044977373093817025,13.943845139211561,1,0,0,0.0,12,3750,36.0,True,120,1533,1533
21,10.435866,169881,3.0,13.0,68.0,100.0,2.7210884353741498e-05,15.21772801100404,0.044977373093817025,13.943845139211561,0,0,0,0.0,3,3750,1.0,False,121,1542,1542
22,9.440613,169882,1.0,11.0,317,350.0,2.7210884353741498e-05,15.190080317635584,0.04742425974679047,3.7368079608172717,0,0,0,0.0,6,3750,9.0,False,119,1530,1530
23,10.921001,169883,1.0,11.0,421,450.0,2.7210884353741498e-05,15.190080317635584,0.022894082338405432,12.461646607378018,0,0,0,0.0,6,3750,11.0,False,119,1542,1542
24,11.170622,169884,3.0,13.0,363,400.0,2.7210884353741498e-05,15.21772801100404,0.0019081417238688318,2.4441106144299507,0,0,0,0.0,6,3750,10.0,False,120,1560,1560
25,5.9740562,169885,3.0,13.0,1181,800.0,2.7210884353741498e-05,15.21772801100404,0.01996259669913636,8.606634143409208,1,0,0,0.0,12,3750,36.0,True,120,1560,1560
26,11.182701,169885,3.0,13.0,381.0,400.0,2.7210884353741498e-05,15.21772801100404,0.01996259669913636,8.606634143409208,0,0,0,0.0,6,3750,10.0,False,121,1578,1578
27,10.69251,169886,13.0,3.0,963,800.0,2.7210884353741498e-05,15.217728011004041,0.11137368574416441,20.655927544949485,0,0,0,0.0,12,3750,36.0,True,122,1614,1614
28,3.390677,169886,13.0,3.0,163.0,200.0,2.7210884353741498e-05,14.89910059043676,0.11137368574416441,20.655927544949485,0,6,2,0.0,3,4050,3.0,False,123,1626,1626
29,4.7171116,169887,1.0,11.0,869,800.0,2.7210884353741498e-05,15.190080317635584,0.010797067186704918,0.891085493517461,1,0,0,0.0,12,3750,36.0,True,119,1542,1542
30,9.66664,169887,1.0,11.0,69.0,100.0,2.7210884353741498e-05,15.190080317635584,0.010797067186704918,0.891085493517461,0,0,0,0.0,3,3750,1.0,False,120,1551,1551
31,10.622066,169888,1.0,11.0,431,450.0,2.7210884353741498e-05,15.190080317635584,0.04189126165331086,20.983773084689616,0,0,0,0.0,6,3750,11.0,False,121,1569,1569
32,6.883531,169889,13.0,3.0,1084,800.0,2.7210884353741498e-05,15.217728011004041,0.003987872956978723,7.4233767401912605,1,0,0,0.0,12,3750,36.0,True,121,1569,1569
33,5.938456,169889,13.0,3.0,284.0,300.0,2.7210884353741498e-05,15.217728011004041,0.003987872956978723,7.4233767401912605,1,0,0,0.0,6,3750,8.0,False,121,1569,1569
34,5.9740562,169890,3.0,13.0,1007,800.0,2.7210884353741498e-05,15.21772801100404,0.16859808793780465,20.967748355483568,1,0,0,0.0,12,3750,36.0,True,121,1569,1569
35,9.9641485,169890,3.0,13.0,207.0,250.0,2.7210884353741498e-05,15.21772801100404,0.16859808793780465,20.967748355483568,0,0,0,0.0,6,3750,7.0,False,122,1587,1587
36,10.279956,169891,2.0,14.0,436,450.0,2.7210884353741498e-05,15.431397438084263,0.004774002086460286,8.138954961702078,0,0,0,0.0,6,3600,11.0,False,121,1569,1569
37,9.270879,169892,1.0,14.0,332,350.0,2.7210884353741498e-05,15.392972705021098,0.053912022141599576,0.7276515919383053,0,0,0,0.0,6,3600,9.0,False,122,1593,1593
38,5.0681434,169893,2.0,14.0,774,800.0,2.7210884353741498e-05,15.431397438084263,0.20490845230796265,5.7448243881431775,1,0,0,0.0,12,3600,36.0,False,121,1587,1587
39,5.0519056,169894,1.0,14.0,517,550.0,2.7210884353741498e-05,15.392972705021098,0.18147115012213233,13.250030923676112,1,0,0,0.0,9,3600,20.0,False,121,1587,1587
40,6.157638,169895,14.0,1.0,122,150.0,2.7210884353741498e-05,15.222667968180923,0.060714674361985146,4.14151172747369,0,3,1,0.0,3,3750,2.0,False,122,1599,1599
41,9.608736,169896,3.0,14.0,924,850.0,2.7210884353741498e-05,15.374237200076939,0.06869773481259432,20.931361006985128,0,0,0,0.0,12,3600,37.0,True,123,1623,1623
42,9.545935,169896,3.0,14.0,74.0,100.0,2.7210884353741498e-05,15.374237200076939,0.06869773481259432,20.931361006985128,0,0,0,0.0,3,3600,1.0,False,124,1629,1629
43,10.933307,169897,3.0,14.0,560,600.0,2.7210884353741498e-05,15.374237200076939,0.031713519728024386,5.594149553423946,0,0,0,0.0,9,3600,21.0,False,124,1635,1635
44,5.0681434,169898,2.0,14.0,601,650.0,2.7210884353741498e-05,15.431397438084263,0.05716777550395176,9.381284497337143,1,0,0,0.0,9,3600,22.0,False,124,1635,1635
45,9.553733,169899,14.0,3.0,949,850.0,2.7210884353741498e-05,15.374237200076939,0.006047733311231218,5.509339390772912,0,0,0,0.0,12,3600,37.0,True,125,1659,1659
46,9.134707,169899,14.0,3.0,99.0,100.0,2.7210884353741498e-05,15.374237200076939,0.006047733311231218,5.509339390772912,0,0,0,0.0,3,3600,1.0,False,126,1665,1665
47,5.0519056,169900,1.0,14.0,486,500.0,2.7210884353741498e-05,15.222667968180925,0.029056137692145965,16.254721129855593,1,3,1,0.0,9,3750,19.0,False,125,1656,1656
48,6.379085,169901,14.0,1.0,481,500.0,2.7210884353741498e-05,15.222667968180923,0.03811772454269256,0.5289653913306792,0,3,1,0.0,9,3750,19.0,False,126,1692,1692
