,epsilons,values,IDs,srcNode,dstNode,reqDR,provDR,PSD,linSNR,toa,tod,block,Action ID,Path ID,FS ID,Slots,Path length,configID,carry,rset lengths,zero slots,rset slots
64,,,49,14.0,2.0,600,600.0,2.7210884353741498e-05,15.155964684780077,0.019856154333251483,16.5328858319694,1,8,2,2.0,9,3900,21.0,False,12,408,408
65,,,50,3.0,9.0,1096,800.0,2.7210884353741498e-05,14.961523384881888,0.0857231314966563,25.326481314955313,0,4,1,1.0,12,4050,36.0,True,13,480,480
66,,,50,3.0,9.0,296.0,300.0,2.7210884353741498e-05,14.908463976217458,0.0857231314966563,25.326481314955313,0,6,2,0.0,6,4050,8.0,False,14,504,504
67,,,51,14.0,3.0,445,450.0,2.7210884353741498e-05,14.757818219341333,0.0470724875349703,12.283137182295468,0,6,2,0.0,9,4200,18.0,False,15,549,549
68,,,52,14.0,2.0,712,750.0,2.7210884353741498e-05,15.431397438084263,0.14428529762314518,0.38202543567975367,1,4,1,1.0,12,3600,35.0,False,15,549,549
69,,,53,9.0,3.0,163,200.0,2.7210884353741498e-05,15.376535195689891,0.016091074637397736,1.0676372764856163,0,2,0,2.0,3,3600,3.0,False,16,558,558
70,,,54,3.0,14.0,681,700.0,2.7210884353741498e-05,14.910528216201705,0.2698336469596859,3.012418405237587,1,5,1,2.0,12,4050,34.0,False,16,558,558
71,,,55,9.0,3.0,345,350.0,2.7210884353741498e-05,15.376535195689891,0.04535176151778847,7.266583147973986,0,2,0,2.0,6,3600,9.0,False,17,576,576
72,,,56,14.0,1.0,541,550.0,2.7210884353741498e-05,15.222667968180923,0.05898655316958935,16.32606283045824,1,5,1,2.0,9,3750,20.0,False,17,576,576
73,,,57,14.0,2.0,1078,800.0,2.7210884353741498e-05,15.155964684780077,0.08788080944782922,6.886195270910999,1,8,2,2.0,12,3900,36.0,True,17,576,576
74,,,57,14.0,2.0,278.0,300.0,2.7210884353741498e-05,15.431397438084263,0.08788080944782922,6.886195270910999,1,4,1,1.0,6,3600,8.0,False,17,576,576
75,,,58,1.0,14.0,67,100.0,2.7210884353741498e-05,14.298097740511377,0.06752044534773549,9.67828636400372,0,7,2,1.0,3,4650,1.0,False,18,591,591
76,,,59,9.0,3.0,780,800.0,2.7210884353741498e-05,14.908463976217458,0.0342531632876327,4.412081308419998,1,4,1,1.0,12,4050,36.0,False,18,591,591
77,,,60,14.0,3.0,812,800.0,2.7210884353741498e-05,14.910528216201705,0.006790681338567771,0.8239445637018747,0,4,1,1.0,12,4050,36.0,True,19,651,651
78,,,60,14.0,3.0,12.0,100.0,2.7210884353741498e-05,14.757818219341333,0.006790681338567771,0.8239445637018747,0,6,2,0.0,3,4200,1.0,False,20,666,666
79,,,61,3.0,14.0,549,550.0,2.7210884353741498e-05,14.77374233846139,0.046714575628411095,1.558081685107965,1,8,2,2.0,9,4200,20.0,False,20,666,666
80,,,62,14.0,3.0,178,200.0,2.7210884353741498e-05,14.757818219341333,0.008599684573992104,8.474815980033256,0,6,2,0.0,3,4200,3.0,False,21,681,681
81,,,63,2.0,14.0,664,700.0,2.7210884353741498e-05,15.413727722231057,0.1047980404449298,20.06775073464461,1,5,1,2.0,12,3600,34.0,False,21,681,681
82,,,64,3.0,9.0,1149,850.0,2.7210884353741498e-05,15.376535195689891,0.07102923730759417,2.425736943049183,1,1,0,1.0,12,3600,37.0,True,21,681,681
83,,,64,3.0,9.0,299.0,300.0,2.7210884353741498e-05,14.961523384881888,0.07102923730759417,2.425736943049183,0,4,1,1.0,6,4050,8.0,False,22,717,717
