,values,IDs,srcNode,dstNode,reqDR,provDR,PSD,linSNR,toa,tod,block,Action ID,Path ID,FS ID,Slots,Path length,configID,carry,rset lengths,zero slots,rset slots
0,11.966456,256519,10.0,1.0,953,800.0,2.7210884353741498e-05,15.009189339742974,0.2733246250082447,4.282648718172312,0,0,0,0.0,12,3900,36.0,True,100,1071,1071
1,8.1111355,256519,10.0,1.0,153.0,200.0,2.7210884353741498e-05,14.548456703409624,0.2733246250082447,4.282648718172312,0,3,1,0.0,3,4350,3.0,False,101,1080,1080
2,10.62133,256520,10.0,1.0,821,800.0,2.7210884353741498e-05,15.009189339742974,0.18316981926548528,8.825114790436384,0,0,0,0.0,12,3900,36.0,True,100,1098,1098
3,8.130165,256520,10.0,1.0,21.0,100.0,2.7210884353741498e-05,14.548456703409624,0.18316981926548528,8.825114790436384,0,3,1,0.0,3,4350,1.0,False,101,1107,1107
4,11.648027,256521,3.0,12.0,1004,800.0,2.7210884353741498e-05,15.073226580086816,0.13245384414589262,4.038236591107898,0,0,0,0.0,12,3900,36.0,True,101,1152,1152
5,11.629274,256521,3.0,12.0,204.0,250.0,2.7210884353741498e-05,15.073226580086816,0.13245384414589262,4.038236591107898,0,0,0,0.0,6,3900,7.0,False,102,1176,1176
6,7.1032834,256522,10.0,1.0,1095,800.0,2.7210884353741498e-05,15.009189339742974,0.18989982255688448,23.994564582901614,1,0,0,0.0,12,3900,36.0,True,98,1122,1122
7,9.364154,256522,10.0,1.0,295.0,300.0,2.7210884353741498e-05,14.591388933414063,0.18989982255688448,23.994564582901614,0,6,2,0.0,6,4350,8.0,False,99,1152,1152
8,11.280849,256523,3.0,12.0,159,200.0,2.7210884353741498e-05,15.073226580086816,0.01988281303996908,6.364293860273731,0,0,0,0.0,3,3900,3.0,False,100,1164,1164
9,11.6087885,256524,12.0,3.0,952,800.0,2.7210884353741498e-05,15.054033214922603,0.043329222147360354,1.9754198890894097,0,0,0,0.0,12,3900,36.0,True,100,1173,1173
10,9.0471735,256524,12.0,3.0,152.0,200.0,2.7210884353741498e-05,15.054033214922603,0.043329222147360354,1.9754198890894097,0,0,0,0.0,3,3900,3.0,False,101,1182,1182
11,11.820735,256525,12.0,3.0,477,500.0,2.7210884353741498e-05,15.054033214922603,0.5071121157481725,6.790733272232087,0,0,0,0.0,9,3900,19.0,False,102,1209,1209
12,10.923436,256526,1.0,10.0,990,800.0,2.7210884353741498e-05,15.009189339742974,0.14796491906315723,5.056058765840813,0,0,0,0.0,12,3900,36.0,True,99,1170,1170
13,7.1087656,256526,1.0,10.0,190.0,200.0,2.7210884353741498e-05,15.009189339742974,0.14796491906315723,5.056058765840813,0,1,0,1.0,3,3900,3.0,False,100,1179,1179
14,10.5184965,256527,1.0,10.0,898,800.0,2.7210884353741498e-05,15.009189339742974,0.1556017399034325,20.204175100930243,0,0,0,0.0,12,3900,36.0,True,101,1215,1215
15,7.3589187,256527,1.0,10.0,98.0,100.0,2.7210884353741498e-05,14.591388933414063,0.1556017399034325,20.204175100930243,0,3,1,0.0,3,4350,1.0,False,102,1230,1230
16,10.109349,256528,11.0,1.0,329,350.0,2.7210884353741498e-05,15.190080317635584,0.12169747548326927,2.039045538779005,0,0,0,0.0,6,3750,9.0,False,102,1224,1224
17,10.655664,256529,11.0,1.0,866,800.0,2.7210884353741498e-05,15.190080317635584,0.020258219498174985,4.940667040241219,0,0,0,0.0,12,3750,36.0,True,101,1245,1245
18,9.30431,256529,11.0,1.0,66.0,100.0,2.7210884353741498e-05,15.190080317635584,0.020258219498174985,4.940667040241219,0,0,0,0.0,3,3750,1.0,False,102,1254,1254
19,10.204086,256530,1.0,11.0,270,300.0,2.7210884353741498e-05,14.880659941921914,0.1152894540769204,3.8540883420893843,0,3,1,0.0,6,4050,8.0,False,102,1266,1266
