,epsilons,values,IDs,srcNode,dstNode,reqDR,provDR,linSNR,toa,tod,block,Action ID,Path ID,FS ID,Slots,Path length,configID,carry,rset lengths
0,,,,10.0,1.0,289.0,,,0.0,11.752852951151056,1.0,1.0,0.0,1.0,,,,,0.0
1,,,,12.0,3.0,478.0,,,0.0,3.1421015055609045,1.0,5.0,1.0,2.0,,,,,0.0
2,,,,1.0,10.0,485.0,,,0.0,2.8813005887629966,0.0,6.0,2.0,0.0,,,,,1.0
3,,,,1.0,10.0,308.0,,,0.0,6.453252416467043,0.0,6.0,2.0,0.0,,,,,2.0
4,,,,3.0,12.0,992.0,,,0.0,1.5426809890484992,1.0,1.0,0.0,1.0,,,,,2.0
5,,,,3.0,12.0,167.0,,,0.0,1.6939103656583412,1.0,7.0,2.0,1.0,,,,,2.0
6,,,,1.0,10.0,681.0,,,0.0,4.11284446649418,1.0,1.0,0.0,1.0,,,,,2.0
7,,,,3.0,12.0,1022.0,,,0.0,15.321449801990903,1.0,1.0,0.0,1.0,,,,,2.0
8,,,,12.0,3.0,342.0,,,0.0,3.3623054337214806,0.0,6.0,2.0,0.0,,,,,3.0
9,,,,1.0,10.0,64.0,,,0.0,11.848980714887178,1.0,8.0,2.0,2.0,,,,,3.0
10,,,,10.0,1.0,336.0,,,0.0,6.296300576957659,0.0,6.0,2.0,0.0,,,,,4.0
11,,,,10.0,1.0,1039.0,,,0.0,4.9721792091461845,0.0,3.0,1.0,0.0,,,,,5.0
12,,,,10.0,1.0,239.0,,,0.0,4.9721792091461845,0.0,6.0,2.0,0.0,,,,,6.0
13,,,,12.0,3.0,317.0,,,0.0,12.978230926129365,0.0,6.0,2.0,0.0,,,,,7.0
14,,,,10.0,1.0,634.0,,,0.0,0.45049046365993906,0.0,6.0,2.0,0.0,,,,,8.0
15,,,,1.0,10.0,246.0,,,0.0,18.213367101342207,0.0,6.0,2.0,0.0,,,,,9.0
16,,,,12.0,3.0,688.0,,,0.0,9.582222692967592,1.0,1.0,0.0,1.0,,,,,9.0
17,,,,12.0,3.0,112.0,,,0.0,3.025899317680175,0.0,6.0,2.0,0.0,,,,,10.0
18,,,,3.0,12.0,132.0,,,0.0,20.371532670399063,1.0,8.0,2.0,2.0,,,,,10.0
19,,,,3.0,12.0,1109.0,,,0.0,0.11371954018760297,1.0,4.0,1.0,1.0,,,,,10.0
20,,,,10.0,1.0,702.0,,,0.0,13.194680122740342,1.0,1.0,0.0,1.0,,,,,10.0
21,,,,1.0,10.0,942.0,,,0.0,7.378085868703175,0.0,6.0,2.0,0.0,,,,,11.0
22,,,,1.0,10.0,142.0,,,0.0,7.378085868703175,0.0,6.0,2.0,0.0,,,,,12.0
23,,,,12.0,3.0,120.0,,,0.0,23.14613921966077,0.0,0.0,0.0,0.0,,,,,13.0
24,,,,10.0,1.0,820.0,,,0.0,8.152933839756885,1.0,1.0,0.0,1.0,,,,,13.0
25,,,,3.0,12.0,715.0,,,0.0,3.794550002358295,1.0,1.0,0.0,1.0,,,,,13.0
26,,,,1.0,10.0,230.0,,,0.0,11.406945082164803,1.0,2.0,0.0,2.0,,,,,13.0
27,,,,12.0,3.0,551.0,,,0.0,8.93085093887025,0.0,6.0,2.0,0.0,,,,,14.0
28,,,,3.0,12.0,214.0,,,0.0,11.818105423266505,1.0,8.0,2.0,2.0,,,,,14.0
29,,,,3.0,12.0,307.0,,,0.0,18.530966853546694,0.0,6.0,2.0,0.0,,,,,15.0
30,,,,12.0,3.0,997.0,,,0.0,25.258253536826352,0.0,3.0,1.0,0.0,,,,,16.0
31,,,,12.0,3.0,197.0,,,0.0,25.258253536826352,0.0,6.0,2.0,0.0,,,,,17.0
32,,,,13.0,3.0,624.0,,,0.0,0.005503126134188391,1.0,2.0,0.0,2.0,,,,,17.0
33,,,,3.0,13.0,475.0,,,0.0,26.669555775596876,1.0,2.0,0.0,2.0,,,,,17.0
34,,,,13.0,3.0,501.0,,,0.0,2.2822393718990144,0.0,6.0,2.0,0.0,,,,,18.0
35,,,,3.0,13.0,232.0,,,0.0,17.673490983919734,0.0,6.0,2.0,0.0,,,,,19.0
36,,,,3.0,13.0,536.0,,,0.0,15.902054876165565,0.0,6.0,2.0,0.0,,,,,20.0
37,,,,1.0,11.0,998.0,,,0.0,13.745349292021146,1.0,2.0,0.0,2.0,,,,,20.0
38,,,,3.0,13.0,409.0,,,0.0,0.4113869949313028,1.0,8.0,2.0,2.0,,,,,20.0
39,,,,3.0,13.0,1192.0,,,0.0,5.03525431208113,0.0,6.0,2.0,0.0,,,,,21.0
40,,,,3.0,13.0,392.0,,,0.0,5.03525431208113,0.0,6.0,2.0,0.0,,,,,22.0
41,,,,1.0,11.0,1192.0,,,0.0,27.93461472888571,0.0,7.0,2.0,1.0,,,,,23.0
42,,,,1.0,11.0,392.0,,,0.0,27.93461472888571,0.0,0.0,0.0,0.0,,,,,24.0
43,,,,11.0,1.0,1082.0,,,0.0,1.8267094488390554,1.0,8.0,2.0,2.0,,,,,24.0
44,,,,3.0,13.0,810.0,,,0.0,10.093222654874543,0.0,0.0,0.0,0.0,,,,,25.0
