,epsilons,values,IDs,srcNode,dstNode,reqDR,provDR,linSNR,toa,tod,block,Action ID,Path ID,FS ID,Slots,Path length,configID,carry,rset lengths
0,,,,3.0,12.0,0.0,,,0.0,22.6782428911883,0.0,0.0,0.0,0.0,,,,,0.0
1,,,,3.0,12.0,0.0,,,0.0,4.772128401328153,0.0,4.0,1.0,1.0,,,,,0.0
2,,,,12.0,3.0,0.0,,,0.0,5.104766466232428,0.0,4.0,1.0,1.0,,,,,0.0
3,,,,10.0,1.0,0.0,,,0.0,3.987850440444804,0.0,4.0,1.0,1.0,,,,,0.0
4,,,,10.0,1.0,0.0,,,0.0,10.088430747038673,0.0,8.0,2.0,2.0,,,,,0.0
5,,,,12.0,3.0,0.0,,,0.0,4.137712004054745,0.0,0.0,0.0,0.0,,,,,0.0
6,,,,12.0,3.0,0.0,,,0.0,10.939093470765735,0.0,4.0,1.0,1.0,,,,,0.0
7,,,,10.0,1.0,0.0,,,0.0,8.28148643126313,0.0,2.0,0.0,2.0,,,,,0.0
8,,,,3.0,12.0,0.0,,,0.0,13.517060119495715,0.0,7.0,2.0,1.0,,,,,0.0
9,,,,3.0,12.0,0.0,,,0.0,8.148452738085426,0.0,7.0,2.0,1.0,,,,,0.0
10,,,,1.0,10.0,0.0,,,0.0,13.749241931447337,0.0,6.0,2.0,0.0,,,,,0.0
11,,,,12.0,3.0,0.0,,,0.0,26.115396000782095,0.0,4.0,1.0,1.0,,,,,0.0
12,,,,10.0,1.0,0.0,,,0.0,2.640525768052785,0.0,4.0,1.0,1.0,,,,,0.0
13,,,,3.0,12.0,0.0,,,0.0,8.506309967252413,0.0,0.0,0.0,0.0,,,,,0.0
14,,,,12.0,3.0,0.0,,,0.0,8.099773876477562,0.0,7.0,2.0,1.0,,,,,0.0
15,,,,12.0,3.0,0.0,,,0.0,4.230389602292488,0.0,4.0,1.0,1.0,,,,,0.0
16,,,,10.0,1.0,0.0,,,0.0,23.102535536038104,0.0,7.0,2.0,1.0,,,,,0.0
17,,,,1.0,10.0,0.0,,,0.0,18.343024114474368,0.0,4.0,1.0,1.0,,,,,0.0
18,,,,3.0,12.0,0.0,,,0.0,0.32602121317388166,0.0,4.0,1.0,1.0,,,,,0.0
19,,,,10.0,1.0,0.0,,,0.0,15.444900761204279,0.0,5.0,1.0,2.0,,,,,0.0
20,,,,3.0,12.0,0.0,,,0.0,10.14043035444777,0.0,4.0,1.0,1.0,,,,,0.0
21,,,,10.0,1.0,0.0,,,0.0,21.93694755415693,0.0,4.0,1.0,1.0,,,,,0.0
22,,,,12.0,3.0,0.0,,,0.0,16.81790042843011,0.0,3.0,1.0,0.0,,,,,0.0
23,,,,10.0,1.0,0.0,,,0.0,3.940326134471497,0.0,0.0,0.0,0.0,,,,,0.0
24,,,,11.0,1.0,0.0,,,0.0,4.294684184963897,0.0,3.0,1.0,0.0,,,,,0.0
25,,,,1.0,11.0,0.0,,,0.0,13.52317706592574,0.0,4.0,1.0,1.0,,,,,0.0
26,,,,13.0,3.0,0.0,,,0.0,2.592448502628566,0.0,2.0,0.0,2.0,,,,,0.0
27,,,,1.0,11.0,0.0,,,0.0,21.86330825711758,0.0,4.0,1.0,1.0,,,,,0.0
28,,,,13.0,3.0,0.0,,,0.0,1.714952173975022,0.0,7.0,2.0,1.0,,,,,0.0
29,,,,3.0,13.0,0.0,,,0.0,1.2821311529019548,0.0,5.0,1.0,2.0,,,,,0.0
30,,,,11.0,1.0,0.0,,,0.0,7.625599006277616,0.0,2.0,0.0,2.0,,,,,0.0
31,,,,3.0,13.0,0.0,,,0.0,5.017845915957127,0.0,4.0,1.0,1.0,,,,,0.0
32,,,,3.0,13.0,0.0,,,0.0,0.8604884579261648,0.0,4.0,1.0,1.0,,,,,0.0
33,,,,3.0,13.0,0.0,,,0.0,11.981318107088615,0.0,4.0,1.0,1.0,,,,,0.0
34,,,,1.0,11.0,0.0,,,0.0,16.273556997961258,0.0,7.0,2.0,1.0,,,,,0.0
35,,,,1.0,11.0,0.0,,,0.0,8.7814892092776,0.0,8.0,2.0,2.0,,,,,0.0
36,,,,13.0,3.0,0.0,,,0.0,4.451843096760987,0.0,4.0,1.0,1.0,,,,,0.0
37,,,,3.0,13.0,0.0,,,0.0,10.982809727452715,0.0,4.0,1.0,1.0,,,,,0.0
38,,,,13.0,3.0,0.0,,,0.0,4.304310330025074,0.0,4.0,1.0,1.0,,,,,0.0
39,,,,11.0,1.0,0.0,,,0.0,26.478818365495282,0.0,8.0,2.0,2.0,,,,,0.0
40,,,,11.0,1.0,0.0,,,0.0,9.811521108689785,0.0,4.0,1.0,1.0,,,,,0.0
41,,,,13.0,3.0,0.0,,,0.0,14.914803038980649,0.0,6.0,2.0,0.0,,,,,0.0
42,,,,3.0,13.0,0.0,,,0.0,4.227444242607605,0.0,2.0,0.0,2.0,,,,,0.0
43,,,,11.0,1.0,0.0,,,0.0,9.741568819892974,0.0,4.0,1.0,1.0,,,,,0.0
44,,,,13.0,3.0,0.0,,,0.0,14.122026181702527,0.0,1.0,0.0,1.0,,,,,0.0
45,,,,1.0,11.0,0.0,,,0.0,2.0236579406755695,0.0,5.0,1.0,2.0,,,,,0.0
46,,,,3.0,13.0,0.0,,,0.0,0.8951589202744719,0.0,4.0,1.0,1.0,,,,,0.0
47,,,,13.0,3.0,0.0,,,0.0,2.9714639217640157,0.0,2.0,0.0,2.0,,,,,0.0
48,,,,2.0,14.0,0.0,,,0.0,13.318613587521007,0.0,4.0,1.0,1.0,,,,,0.0
49,,,,14.0,2.0,0.0,,,0.0,3.87190094205804,0.0,5.0,1.0,2.0,,,,,0.0
50,,,,3.0,14.0,0.0,,,0.0,2.649590668774419,0.0,4.0,1.0,1.0,,,,,0.0
51,,,,9.0,3.0,0.0,,,0.0,12.522545268036382,0.0,7.0,2.0,1.0,,,,,0.0
52,,,,2.0,14.0,0.0,,,0.0,3.7869711625609384,0.0,4.0,1.0,1.0,,,,,0.0
53,,,,1.0,14.0,0.0,,,0.0,4.648183974246176,0.0,6.0,2.0,0.0,,,,,0.0
54,,,,9.0,3.0,0.0,,,0.0,11.403205453144018,0.0,4.0,1.0,1.0,,,,,0.0
55,,,,9.0,3.0,0.0,,,0.0,4.461725708653368,0.0,4.0,1.0,1.0,,,,,0.0
56,,,,2.0,14.0,0.0,,,0.0,25.924301055557013,0.0,0.0,0.0,0.0,,,,,0.0
57,,,,1.0,14.0,0.0,,,0.0,6.22400539196413,0.0,1.0,0.0,1.0,,,,,0.0
58,,,,14.0,3.0,0.0,,,0.0,10.80755384721231,0.0,2.0,0.0,2.0,,,,,0.0
59,,,,3.0,14.0,0.0,,,0.0,3.157546445806993,0.0,4.0,1.0,1.0,,,,,0.0
60,,,,3.0,9.0,0.0,,,0.0,6.245136287387481,0.0,5.0,1.0,2.0,,,,,0.0
61,,,,2.0,14.0,0.0,,,0.0,16.5328858319694,0.0,4.0,1.0,1.0,,,,,0.0
62,,,,14.0,1.0,0.0,,,0.0,14.800976145558371,0.0,4.0,1.0,1.0,,,,,0.0
63,,,,1.0,14.0,0.0,,,0.0,5.445963772082153,0.0,4.0,1.0,1.0,,,,,0.0
64,,,,14.0,2.0,0.0,,,0.0,12.364652776819483,0.0,7.0,2.0,1.0,,,,,0.0
65,,,,3.0,9.0,0.0,,,0.0,25.235463124899,0.0,4.0,1.0,1.0,,,,,0.0
66,,,,9.0,3.0,0.0,,,0.0,2.320108806801663,0.0,4.0,1.0,1.0,,,,,0.0
67,,,,14.0,3.0,0.0,,,0.0,7.837158116125101,0.0,2.0,0.0,2.0,,,,,0.0
68,,,,14.0,2.0,0.0,,,0.0,12.846597121374211,0.0,5.0,1.0,2.0,,,,,0.0
69,,,,9.0,3.0,0.0,,,0.0,1.9461019786906775,0.0,0.0,0.0,0.0,,,,,0.0
70,,,,3.0,14.0,0.0,,,0.0,15.516935951335938,0.0,4.0,1.0,1.0,,,,,0.0
71,,,,9.0,3.0,0.0,,,0.0,5.475164169090811,0.0,5.0,1.0,2.0,,,,,0.0
72,,,,14.0,1.0,0.0,,,0.0,18.27418397592748,0.0,3.0,1.0,0.0,,,,,0.0
73,,,,14.0,2.0,0.0,,,0.0,3.6798903749470404,0.0,5.0,1.0,2.0,,,,,0.0
74,,,,9.0,3.0,0.0,,,0.0,7.848048705573065,0.0,4.0,1.0,1.0,,,,,0.0
75,,,,1.0,14.0,0.0,,,0.0,2.979196176384408,0.0,4.0,1.0,1.0,,,,,0.0
76,,,,9.0,3.0,0.0,,,0.0,2.7754172047942127,0.0,3.0,1.0,0.0,,,,,0.0
77,,,,14.0,3.0,0.0,,,0.0,0.12603005489427008,0.0,2.0,0.0,2.0,,,,,0.0
