,values,IDs,srcNode,dstNode,reqDR,provDR,PSD,linSNR,toa,tod,block,Action ID,Path ID,FS ID,Slots,Path length,configID,carry,rset lengths,zero slots,rset slots
0,,1,10.0,1.0,549,550.0,2.7210884353741498e-05,14.591388933414063,0.07093261575475736,13.517060119495715,0,6,2,0.0,9,4350,20.0,False,1,45,45
1,,2,1.0,10.0,1150,800.0,2.7210884353741498e-05,14.548456703409624,0.15544878571894102,5.376983924845,1,8,2,2.0,12,4350,36.0,True,1,45,45
2,,2,1.0,10.0,350.0,350.0,2.7210884353741498e-05,14.591388933414063,0.15544878571894102,5.376983924845,1,4,1,1.0,6,4350,9.0,False,1,45,45
3,,3,12.0,3.0,969,800.0,2.7210884353741498e-05,15.073226580086816,0.035872900307056824,22.359910785108507,1,7,2,1.0,12,3900,36.0,True,1,45,45
4,,3,12.0,3.0,169.0,200.0,2.7210884353741498e-05,15.056167835190472,0.035872900307056824,22.359910785108507,0,3,1,0.0,3,3900,3.0,False,2,57,57
5,,4,12.0,3.0,980,800.0,2.7210884353741498e-05,15.056167835190472,0.05139718215295067,19.629846913486666,0,3,1,0.0,12,3900,36.0,True,3,105,105
6,,4,12.0,3.0,180.0,200.0,2.7210884353741498e-05,15.073226580086816,0.05139718215295067,19.629846913486666,0,6,2,0.0,3,3900,3.0,False,4,117,117
7,,5,12.0,3.0,861,800.0,2.7210884353741498e-05,15.073226580086816,0.055306238684099285,6.450525625061012,0,6,2,0.0,12,3900,36.0,True,5,165,165
8,,5,12.0,3.0,61.0,100.0,2.7210884353741498e-05,15.073226580086816,0.055306238684099285,6.450525625061012,1,7,2,1.0,3,3900,1.0,False,5,165,165
9,,6,3.0,12.0,199,200.0,2.7210884353741498e-05,15.056167835190472,0.13057706877474362,0.4900313021391937,0,3,1,0.0,3,3900,3.0,False,6,177,177
10,,7,12.0,3.0,796,800.0,2.7210884353741498e-05,15.073226580086816,0.023454322228997005,24.306498565744075,1,7,2,1.0,12,3900,36.0,False,6,177,177
11,,8,12.0,3.0,765,800.0,2.7210884353741498e-05,15.073226580086816,0.09909108431071852,14.002158107912916,0,6,2,0.0,12,3900,36.0,False,7,225,225
12,,9,3.0,12.0,924,800.0,2.7210884353741498e-05,15.073226580086816,0.05364287908370436,14.428986302010212,1,1,0,1.0,12,3900,36.0,True,7,225,225
13,,9,3.0,12.0,124.0,150.0,2.7210884353741498e-05,15.054033214922603,0.05364287908370436,14.428986302010212,0,6,2,0.0,3,3900,2.0,False,8,234,234
14,,10,10.0,1.0,368,400.0,2.7210884353741498e-05,15.009189339742974,0.07521680424827572,1.9293094370054982,1,2,0,2.0,6,3900,10.0,False,8,234,234
15,,11,3.0,12.0,68,100.0,2.7210884353741498e-05,15.054033214922603,0.3164734011187267,2.3808520905675943,1,7,2,1.0,3,3900,1.0,False,8,234,234
16,,12,10.0,1.0,725,750.0,2.7210884353741498e-05,15.009189339742974,0.13804073863466104,2.7047027595993134,1,1,0,1.0,12,3900,35.0,False,7,222,222
17,,13,3.0,12.0,1043,800.0,2.7210884353741498e-05,15.073226580086816,0.08147413245141188,19.484760266563914,1,1,0,1.0,12,3900,36.0,True,7,222,222
18,,13,3.0,12.0,243.0,250.0,2.7210884353741498e-05,15.056167835190472,0.08147413245141188,19.484760266563914,1,4,1,1.0,6,3900,7.0,False,7,222,222
19,,14,10.0,1.0,239,250.0,2.7210884353741498e-05,14.591388933414063,0.16803927738367977,6.273515690671189,1,8,2,2.0,6,4350,7.0,False,7,222,222
20,,15,10.0,1.0,779,800.0,2.7210884353741498e-05,14.548456703409624,0.007660797573004791,4.07827234239717,1,4,1,1.0,12,4350,36.0,False,7,222,222
21,,16,12.0,3.0,996,800.0,2.7210884353741498e-05,15.056167835190472,0.002198257069218644,4.889970065827017,0,3,1,0.0,12,3900,36.0,True,8,270,270
22,,16,12.0,3.0,196.0,200.0,2.7210884353741498e-05,15.073226580086816,0.002198257069218644,4.889970065827017,0,6,2,0.0,3,3900,3.0,False,9,282,282
23,,17,12.0,3.0,857,800.0,2.7210884353741498e-05,15.056167835190472,0.20026422953453432,13.287003448142327,1,5,1,2.0,12,3900,36.0,True,9,282,282
