,values,IDs,srcNode,dstNode,reqDR,provDR,PSD,linSNR,toa,tod,block,Action ID,Path ID,FS ID,Slots,Path length,configID,carry,rset lengths,zero slots,rset slots
0,10.17045,342484,1.0,10.0,741,750.0,2.7210884353741498e-05,15.009189339742974,0.02547994522504462,21.097583841241068,0,0,0,0.0,12,3900,35.0,False,94,984,984
1,10.644673,342485,1.0,10.0,1073,800.0,2.7210884353741498e-05,15.009189339742974,0.11076720013032662,15.112745845741784,0,0,0,0.0,12,3900,36.0,True,95,1020,1020
2,8.511852,342485,1.0,10.0,273.0,300.0,2.7210884353741498e-05,15.009189339742974,0.11076720013032662,15.112745845741784,0,0,0,0.0,6,3900,8.0,False,96,1038,1038
3,9.784464,342486,12.0,3.0,835,800.0,2.7210884353741498e-05,15.054033214922603,0.008232355734323647,1.5638219511720899,0,0,0,0.0,12,3900,36.0,True,96,1068,1068
4,8.789239,342486,12.0,3.0,35.0,100.0,2.7210884353741498e-05,15.054033214922603,0.008232355734323647,1.5638219511720899,0,0,0,0.0,3,3900,1.0,False,97,1077,1077
5,11.382626,342487,3.0,12.0,188,200.0,2.7210884353741498e-05,15.073226580086816,0.09385324240527784,11.76402111097349,0,0,0,0.0,3,3900,3.0,False,98,1089,1089
6,12.08524,342488,3.0,12.0,933,800.0,2.7210884353741498e-05,15.073226580086816,0.14293989042487423,19.330923935913862,0,0,0,0.0,12,3900,36.0,True,99,1137,1137
7,11.41958,342488,3.0,12.0,133.0,150.0,2.7210884353741498e-05,15.073226580086816,0.14293989042487423,19.330923935913862,0,0,0,0.0,3,3900,2.0,False,100,1149,1149
8,8.399127,342489,1.0,10.0,1034,800.0,2.7210884353741498e-05,14.591388933414063,0.09986233281244151,2.0780213477704756,0,3,1,0.0,12,4350,36.0,True,99,1197,1197
9,8.437965,342489,1.0,10.0,234.0,250.0,2.7210884353741498e-05,15.009189339742974,0.09986233281244151,2.0780213477704756,0,0,0,0.0,6,3900,7.0,False,100,1215,1215
10,7.136684,342490,1.0,10.0,67,100.0,2.7210884353741498e-05,15.009189339742974,0.05551760391476129,0.4671279918566611,0,0,0,0.0,3,3900,1.0,False,100,1206,1206
11,9.498048,342491,10.0,1.0,439,450.0,2.7210884353741498e-05,14.591388933414063,0.22591896916540682,23.401922037534096,0,6,2,0.0,9,4350,18.0,False,101,1251,1251
12,10.219379,342492,10.0,1.0,1105,800.0,2.7210884353741498e-05,15.009189339742974,0.07666592804027632,2.2938192141958047,1,1,0,1.0,12,3900,36.0,True,98,1230,1230
13,9.125672,342492,10.0,1.0,305.0,350.0,2.7210884353741498e-05,15.009189339742974,0.07666592804027632,2.2938192141958047,0,0,0,0.0,6,3900,9.0,False,99,1248,1248
14,12.045443,342493,3.0,12.0,585,600.0,2.7210884353741498e-05,15.073226580086816,0.08732346683436645,18.00992409702353,0,0,0,0.0,9,3900,21.0,False,98,1245,1245
15,10.112871,342494,10.0,1.0,753,800.0,2.7210884353741498e-05,14.548456703409624,0.04999776833853279,20.59106395028845,0,3,1,0.0,12,4350,36.0,False,99,1281,1281
16,10.226004,342495,12.0,3.0,1193,800.0,2.7210884353741498e-05,15.054033214922603,0.025289302613720865,3.924928475668677,0,0,0,0.0,12,3900,36.0,True,98,1296,1296
17,10.067324,342495,12.0,3.0,393.0,400.0,2.7210884353741498e-05,15.054033214922603,0.025289302613720865,3.924928475668677,0,0,0,0.0,6,3900,10.0,False,99,1314,1314
18,10.489032,342496,1.0,10.0,855,800.0,2.7210884353741498e-05,15.009189339742974,0.025692775046616954,3.3742851237224247,0,0,0,0.0,12,3900,36.0,True,100,1350,1350
19,7.000658,342496,1.0,10.0,55.0,100.0,2.7210884353741498e-05,15.009189339742974,0.025692775046616954,3.3742851237224247,0,0,0,0.0,3,3900,1.0,False,101,1359,1359
20,11.150109,342497,3.0,12.0,1119,800.0,2.7210884353741498e-05,15.073226580086816,0.009986585916033599,3.05791628688946,0,0,0,0.0,12,3900,36.0,True,102,1407,1407
21,10.999777,342497,3.0,12.0,319.0,350.0,2.7210884353741498e-05,15.056167835190472,0.009986585916033599,3.05791628688946,0,3,1,0.0,6,3900,9.0,False,103,1431,1431
