,epsilons,values,IDs,srcNode,dstNode,reqDR,provDR,linSNR,toa,tod,block,Action ID,Path ID,FS ID,Slots,Path length,configID,carry,rset lengths
0,,,,10.0,1.0,289.0,,,0.0,11.752852951151056,1.0,1.0,0.0,1.0,,,,,0.0
1,,,,12.0,3.0,478.0,,,0.0,3.1421015055609045,1.0,8.0,2.0,2.0,,,,,0.0
2,,,,1.0,10.0,485.0,,,0.0,2.1350021461606072,1.0,1.0,0.0,1.0,,,,,0.0
3,,,,1.0,10.0,308.0,,,0.0,1.0293376952095439,0.0,3.0,1.0,0.0,,,,,1.0
4,,,,3.0,12.0,992.0,,,0.0,1.5426809890484992,0.0,3.0,1.0,0.0,,,,,2.0
5,,,,3.0,12.0,192.0,,,0.0,1.5426809890484992,1.0,1.0,0.0,1.0,,,,,2.0
6,,,,3.0,12.0,167.0,,,0.0,1.8892473087016661,0.0,6.0,2.0,0.0,,,,,3.0
7,,,,1.0,10.0,681.0,,,0.0,7.672271649982739,1.0,5.0,1.0,2.0,,,,,3.0
8,,,,3.0,12.0,1022.0,,,0.0,3.3623054337214806,0.0,3.0,1.0,0.0,,,,,4.0
9,,,,3.0,12.0,222.0,,,0.0,3.3623054337214806,1.0,5.0,1.0,2.0,,,,,4.0
10,,,,12.0,3.0,342.0,,,0.0,5.547575762019048,0.0,3.0,1.0,0.0,,,,,5.0
11,,,,1.0,10.0,64.0,,,0.0,4.9721792091461845,0.0,3.0,1.0,0.0,,,,,6.0
12,,,,10.0,1.0,336.0,,,0.0,12.978230926129365,0.0,6.0,2.0,0.0,,,,,7.0
13,,,,10.0,1.0,1039.0,,,0.0,0.45049046365993906,1.0,8.0,2.0,2.0,,,,,7.0
14,,,,12.0,3.0,317.0,,,0.0,18.213367101342207,1.0,4.0,1.0,1.0,,,,,7.0
15,,,,10.0,1.0,634.0,,,0.0,9.582222692967592,1.0,8.0,2.0,2.0,,,,,7.0
16,,,,1.0,10.0,246.0,,,0.0,3.025899317680175,1.0,5.0,1.0,2.0,,,,,7.0
17,,,,12.0,3.0,688.0,,,0.0,2.0729243673356117,1.0,8.0,2.0,2.0,,,,,7.0
18,,,,12.0,3.0,112.0,,,0.0,9.100168039444242,1.0,1.0,0.0,1.0,,,,,7.0
19,,,,3.0,12.0,132.0,,,0.0,13.556101632631405,0.0,6.0,2.0,0.0,,,,,8.0
20,,,,3.0,12.0,1109.0,,,0.0,15.83034109554685,1.0,1.0,0.0,1.0,,,,,8.0
21,,,,10.0,1.0,702.0,,,0.0,0.7231128890989336,1.0,8.0,2.0,2.0,,,,,8.0
22,,,,1.0,10.0,942.0,,,0.0,8.152933839756885,1.0,8.0,2.0,2.0,,,,,8.0
23,,,,12.0,3.0,120.0,,,0.0,3.794550002358295,0.0,6.0,2.0,0.0,,,,,9.0
24,,,,10.0,1.0,820.0,,,0.0,11.406945082164803,1.0,2.0,0.0,2.0,,,,,9.0
25,,,,3.0,12.0,715.0,,,0.0,8.93085093887025,1.0,4.0,1.0,1.0,,,,,9.0
26,,,,1.0,10.0,230.0,,,0.0,3.772152670749085,1.0,8.0,2.0,2.0,,,,,9.0
27,,,,12.0,3.0,551.0,,,0.0,18.530966853546694,1.0,8.0,2.0,2.0,,,,,9.0
28,,,,3.0,12.0,214.0,,,0.0,25.258253536826352,0.0,6.0,2.0,0.0,,,,,10.0
29,,,,3.0,12.0,307.0,,,0.0,5.727103120845404,0.0,6.0,2.0,0.0,,,,,11.0
30,,,,12.0,3.0,997.0,,,0.0,3.9494639845273216,1.0,8.0,2.0,2.0,,,,,11.0
31,,,,13.0,3.0,624.0,,,0.0,26.669555775596876,1.0,2.0,0.0,2.0,,,,,11.0
32,,,,3.0,13.0,475.0,,,0.0,2.2822393718990144,0.0,6.0,2.0,0.0,,,,,12.0
33,,,,13.0,3.0,501.0,,,0.0,17.673490983919734,1.0,8.0,2.0,2.0,,,,,12.0
34,,,,3.0,13.0,232.0,,,0.0,15.902054876165565,0.0,6.0,2.0,0.0,,,,,13.0
35,,,,3.0,13.0,536.0,,,0.0,13.745349292021146,1.0,2.0,0.0,2.0,,,,,13.0
36,,,,1.0,11.0,998.0,,,0.0,0.4113869949313028,1.0,8.0,2.0,2.0,,,,,13.0
37,,,,3.0,13.0,409.0,,,0.0,16.281770010536434,1.0,8.0,2.0,2.0,,,,,13.0
38,,,,3.0,13.0,1192.0,,,0.0,27.93461472888571,1.0,8.0,2.0,2.0,,,,,13.0
39,,,,1.0,11.0,1192.0,,,0.0,0.001978762750746263,1.0,8.0,2.0,2.0,,,,,13.0
40,,,,11.0,1.0,1082.0,,,0.0,1.8267094488390554,1.0,8.0,2.0,2.0,,,,,13.0
41,,,,3.0,13.0,810.0,,,0.0,10.093222654874543,1.0,4.0,1.0,1.0,,,,,13.0
42,,,,13.0,3.0,547.0,,,0.0,11.825087965590521,1.0,4.0,1.0,1.0,,,,,13.0
43,,,,1.0,11.0,655.0,,,0.0,21.4364918561397,1.0,2.0,0.0,2.0,,,,,13.0
44,,,,1.0,11.0,292.0,,,0.0,2.1961906894675303,1.0,7.0,2.0,1.0,,,,,13.0
45,,,,13.0,3.0,441.0,,,0.0,20.94347530349091,1.0,4.0,1.0,1.0,,,,,13.0
46,,,,13.0,3.0,323.0,,,0.0,3.597994686117426,0.0,6.0,2.0,0.0,,,,,14.0
47,,,,3.0,13.0,1070.0,,,0.0,10.979312667100826,1.0,8.0,2.0,2.0,,,,,14.0
48,,,,3.0,13.0,665.0,,,0.0,4.644834737601616,1.0,4.0,1.0,1.0,,,,,14.0
49,,,,3.0,13.0,495.0,,,0.0,4.033461096485682,0.0,6.0,2.0,0.0,,,,,15.0
50,,,,1.0,11.0,672.0,,,0.0,0.45860290042117485,1.0,8.0,2.0,2.0,,,,,15.0
51,,,,1.0,11.0,739.0,,,0.0,1.3407141599403822,1.0,8.0,2.0,2.0,,,,,15.0
52,,,,1.0,11.0,477.0,,,0.0,2.264576566532973,1.0,4.0,1.0,1.0,,,,,15.0
53,,,,3.0,13.0,1159.0,,,0.0,21.274389071018113,0.0,6.0,2.0,0.0,,,,,16.0
54,,,,3.0,13.0,359.0,,,0.0,21.274389071018113,1.0,5.0,1.0,2.0,,,,,16.0
55,,,,3.0,14.0,748.0,,,0.0,0.6010589723118628,1.0,8.0,2.0,2.0,,,,,16.0
56,,,,1.0,14.0,787.0,,,0.0,4.113683635586579,0.0,6.0,2.0,0.0,,,,,17.0
57,,,,1.0,14.0,37.0,,,0.0,4.113683635586579,1.0,1.0,0.0,1.0,,,,,17.0
58,,,,1.0,14.0,333.0,,,0.0,4.130944075097102,1.0,8.0,2.0,2.0,,,,,17.0
59,,,,1.0,14.0,1105.0,,,0.0,4.934632847297546,1.0,8.0,2.0,2.0,,,,,17.0
60,,,,3.0,14.0,615.0,,,0.0,11.700817539589483,1.0,5.0,1.0,2.0,,,,,17.0
61,,,,1.0,14.0,202.0,,,0.0,0.6275843215193714,0.0,4.0,1.0,1.0,,,,,18.0
62,,,,2.0,14.0,72.0,,,0.0,15.647238890438505,1.0,4.0,1.0,1.0,,,,,18.0
63,,,,1.0,14.0,689.0,,,0.0,13.549823840423507,1.0,8.0,2.0,2.0,,,,,18.0
64,,,,1.0,14.0,1089.0,,,0.0,11.04277056166945,1.0,8.0,2.0,2.0,,,,,18.0
65,,,,14.0,2.0,1055.0,,,0.0,8.303356694915001,1.0,8.0,2.0,2.0,,,,,18.0
66,,,,14.0,3.0,329.0,,,0.0,1.8472632521816146,1.0,2.0,0.0,2.0,,,,,18.0
67,,,,3.0,9.0,616.0,,,0.0,0.22900386019341606,1.0,1.0,0.0,1.0,,,,,18.0
68,,,,14.0,2.0,116.0,,,0.0,3.6470697190462507,0.0,6.0,2.0,0.0,,,,,19.0
69,,,,14.0,1.0,705.0,,,0.0,16.892562939896543,1.0,8.0,2.0,2.0,,,,,19.0
70,,,,1.0,14.0,204.0,,,0.0,3.0939388857325714,0.0,6.0,2.0,0.0,,,,,20.0
71,,,,14.0,1.0,681.0,,,0.0,6.749011882715498,1.0,2.0,0.0,2.0,,,,,20.0
72,,,,1.0,14.0,439.0,,,0.0,14.914437577372551,0.0,3.0,1.0,0.0,,,,,21.0
73,,,,9.0,3.0,716.0,,,0.0,6.44648395160924,1.0,8.0,2.0,2.0,,,,,21.0
74,,,,2.0,14.0,734.0,,,0.0,18.975000546874696,1.0,8.0,2.0,2.0,,,,,21.0
